,SA2 code,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2026 Population,2031 Population,2036 Population,2023 Population,2024 Population,2025 Population,SA2 name
420,213041353,21764,22471,23329,24220,25045,25550.70529119298,29183.5,33339.0,37494.5,26290.801177793415,27030.897064393852,27770.99295099429,Bacchus Marsh
421,213041358,19035,20018,20970,21401,21502,22123.16801313928,25007.100000000093,28165.600000000093,31324.100000000093,22632.25359552563,23141.339177911985,23650.424760298338,Melton West
422,213041359,4731,7540,10296,13272,17836,19482.42543501407,33094.39999999944,49065.39999999944,65036.39999999944,22573.602911931463,25664.780388848856,28755.95786576718,Rockbank - Mount Cottrell
423,213041360,20435,20439,20427,20265,19800,20714.46268643465,19262.400000000023,18540.400000000023,17818.400000000023,20837.20989287403,20959.95709931344,21082.70430575282,Taylors Hill
424,213041461,5176,5395,5542,5733,5855,5734.195285866488,6727.400000000023,7575.400000000023,8423.400000000023,5797.636709872168,5861.078133877847,5924.519557883526,Burnside
425,213041462,6543,6654,6735,6621,6442,6832.2283935546875,6434.5,6317.0,6199.5,6898.3892822265625,6964.5501708984375,7030.7110595703125,Burnside Heights
426,213041463,21291,21391,21336,21216,20643,21590.71484375,20145.70000000001,19410.20000000001,18674.70000000001,21699.96875,21809.22265625,21918.4765625,Caroline Springs
427,213041571,9499,9680,9772,9880,9939,10078.0,10510.0,11050.0,11590.0,10186.0,10294.0,10402.0,Brookfield
428,213041572,1754,2758,4335,6144,7708,9128.0,15245.600000000093,22892.600000000093,30539.600000000093,10657.400000000373,12186.80000000028,13716.200000000186,Cobblebank - Strathtulloh
429,213041573,2947,2996,2991,3014,3024,3046.0,3114.800000000003,3200.800000000003,3286.800000000003,3063.199999999997,3080.4000000000015,3097.5999999999985,Eynesbury - Exford
430,213041574,5793,7004,7983,8742,10223,11128.399999999907,15367.600000000093,20666.600000000093,25965.600000000093,12188.200000000186,13248.0,14307.799999999814,Fraser Rise - Plumpton
431,213041575,16823,16842,16693,16463,16335,16224.700000000012,15682.700000000012,15005.200000000012,14327.700000000012,16089.200000000012,15953.700000000012,15818.200000000012,Hillside
432,213041576,11456,11661,11894,11961,11745,12006.800000000017,12358.0,12797.0,13236.0,12094.600000000006,12182.399999999994,12270.200000000012,Kurunjang - Toolern Vale
433,213041577,8315,8333,8352,8252,7968,8011.5,7701.5,7314.0,6926.5,7934.0,7856.5,7779.0,Melton
434,213041578,12186,13155,14216,15626,16906,17991.100000000093,22755.499999999534,28710.999999999534,34666.499999999534,19182.200000000186,20373.299999999814,21564.399999999907,Melton South - Weir Views
435,213051361,20080,19913,19678,19383,18663,20008.39103338067,17188.600000000093,15506.600000000093,13824.600000000093,20128.78480409563,20249.17857481059,20369.57234552555,Hoppers Crossing - North
436,213051362,20284,20300,20173,19916,19003,20320.13464133523,17872.999999999884,16399.999999999884,14926.999999999884,20420.808715080493,20521.482788825757,20622.15686257102,Hoppers Crossing - South
437,213051363,10250,10891,11487,11956,11643,12136.139723899192,13941.100000000093,15866.600000000093,17792.100000000093,12412.537866950734,12688.936010002391,12965.334153053933,Laverton
438,213051368,12571,13680,15002,16321,16985,17369.301207386423,22940.100000000093,28674.600000000093,34409.10000000009,18198.554015743313,19027.806824100437,19857.059632457327,Werribee - South
