,name,coordinates,real_station_distance,real_station_duration,nearestSchool,nearestSchool_distance,School_Y,School_X,School_Name,real_school_distance,real_school_duration
1022,3 Goughs Crescent Goughs Bay VIC 3723,"[-37.17948579999999, 146.0681414]",170.6,140.0,Mansfield Secondary College,13.0895,-37.06268,146.08856,Mansfield Secondary College,20.8,20.9
1023,5A Tom Street Yarrawonga VIC 3730,"[-36.01030490000001, 146.0013772]",249.0,164.5,Sacred Heart Primary School,0.7112,-36.01072,146.00925,Sacred Heart Primary School,0.8,1.8
1024,11 Coco Crescent Yarrawonga VIC 3730,"[-36.0088597, 146.0367206]",251.9,167.3,Sacred Heart College,2.4803,-38.1495,144.34015,Sacred Heart College,351.1,234.3
1027,20 HAWKINS DRIVE Yarrawonga VIC 3730,"[-36.005441, 146.0217323]",250.9,167.0,Sacred Heart College,1.1841,-38.1495,144.34015,Sacred Heart College,350.1,234.0
1030,Yarrawonga VIC 3730,"[-36.0271135, 145.9990577]",247.0,162.1,Yarrawonga College P-12,0.9312,-36.02144,146.00667,Yarrawonga College P-12,1.3,3.7
1031,Robinson Way Yarrawonga VIC 3730,"[-36.0066297, 146.036653]",252.2,167.6,Sacred Heart College,2.4844,-38.1495,144.34015,Sacred Heart College,351.3,234.6
1034,4 Jacqueline Court Yarrawonga VIC 3730,"[-36.0198989, 145.9751104]",249.5,164.5,Yarrawonga College P-12,2.8499,-36.02144,146.00667,Yarrawonga College P-12,3.6,5.6
1035,51 Rosemary Court Yarrawonga VIC 3730,"[-36.015312, 146.057076]",254.3,171.1,Sacred Heart Primary School,4.3415,-36.01072,146.00925,Sacred Heart Primary School,6.0,8.8
1036,63 Peter Thomson Circuit Yarrawonga VIC 3730,"[-36.0158729, 146.0458882]",252.4,170.1,Sacred Heart Primary School,3.352,-36.01072,146.00925,Sacred Heart Primary School,4.1,7.7
1037,5/31 McNally Street Yarrawonga VIC 3730,"[-36.0156467, 146.0063695]",248.6,163.5,Sacred Heart Primary School,0.6052,-36.01072,146.00925,Sacred Heart Primary School,0.8,1.5
1038,4/8-10 Kingsley Court Yarrawonga VIC 3730,"[-36.024797, 146.0040681]",249.2,164.6,Yarrawonga College P-12,0.4402,-36.02144,146.00667,Yarrawonga College P-12,0.5,1.3
1039,4/41 Hovell Street Yarrawonga VIC 3730,"[-36.0142232, 146.0024473]",248.6,163.8,Sacred Heart Primary School,0.7261,-36.01072,146.00925,Sacred Heart Primary School,0.9,2.0
1040,23 Belmore Street Yarrawonga VIC 3730,"[-36.0098373, 146.0041744]",249.4,164.7,Sacred Heart Primary School,0.4679,-36.01072,146.00925,Sacred Heart Primary School,0.7,1.2
1041,3232 Wangaratta-Yarrawonga Road Bundalong South VIC 3730,"[-36.1019261, 146.2053276]",263.3,183.9,Wahgunyah Primary School,19.9259,-36.01365,146.39792,Wahgunyah Primary School,34.5,30.1
1042,3/6 Coghill Street Yarrawonga VIC 3730,"[-36.0083834, 146.0102371]",249.7,165.3,Sacred Heart College,0.0976,-38.1495,144.34015,Sacred Heart College,348.9,232.3
1045,5 Rosella Place Yarrawonga VIC 3730,"[-36.0260723, 146.0003241]",247.2,162.9,Yarrawonga College P-12,0.769,-36.02144,146.00667,Yarrawonga College P-12,1.0,2.9
1046,35 Oasis Crescent Yarrawonga VIC 3730,"[-36.015088, 146.0463581]",252.5,170.4,Sacred Heart Primary School,3.3802,-36.01072,146.00925,Sacred Heart Primary School,4.2,8.1
